SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
418,ACAD1,Acadia NP          ,US,ME, ,44.37,-68.27,128,09/21/85,11/28/87
419,ARCH1,Arches NP          ,US,UT, ,38.62,-109.62,1265,09/28/79,11/28/87
420,BAHI1,Bald Hill Dam      ,US,ND, ,47.03,-98.08,427,11/16/79,08/31/81
421,BAND1,Bandelier NM       ,US,NM, ,35.78,-106.27,1987,10/02/82,02/09/85
422,BECR1,Belt Creek NFS     ,US,MT, ,47.03,-110.82,1768,09/24/79,08/31/81
423,BELA1,Bering Land Bridge     ,US,AK, ,64.5,-165.42,6,04/22/87,07/03/93
424,BIBE1,Big Bend NP        ,US,TX, ,29.3,-103.18,1067,07/27/82,11/28/87
425,BLWA1,Blue Water Hatchery,US,MT, ,45.33,-108.78,1128,09/17/79,08/31/81
426,BRCA1,Bryce Canyon NP    ,US,UT, ,37.62,-112.17,2438,09/21/79,12/02/87
427,BRLA1,Brooklyn Lake/Cent ,US,WY, ,41.33,-106.3,3139,12/12/87,07/03/93
428,BRPA1,Browns Park        ,US,CO, ,40.8,-108.97,1768,10/05/79,07/10/84
429,BUAI1,Buffalo Airport    ,US,WY, ,44.37,-106.72,1524,09/17/79,08/31/81
430,BUFF1,Buffalo NR         ,US,AR, ,36,-92.97,305,12/20/83,08/05/89
431,CACA1,Carlsbad Caverns NP,US,NM, ,32.17,-104.43,1341,12/11/81,02/26/83
432,CAMO1,Capulin Mountain NM,US,NM, ,36.78,-103.97,2225,08/10/82,03/29/86
433,CANY1,Canyonlands NP     ,US,UT, ,38.45,-109.82,1814,09/21/79,11/28/87
434,CEMO1,Cedar Mountain BLM ,US,UT, ,39.17,-110.62,2336,11/23/79,08/28/81
435,CHCU1,Chaco Culture NM   ,US,NM, ,36.03,-107.9,1946,07/30/79,03/29/86
436,CHIR1,Chiricahua NM      ,US,AZ, ,32,-109.35,1646,06/08/82,11/28/87
437,COSP1,City of Fort Collins3,US,CO, ,40.57,-105.08,1539,03/05/89,04/28/89
438,COST1,City of Fort Collins,US,CO, ,40.57,-105.08,1539,03/01/89,02/28/90
439,CRLA1,Crater Lake NP     ,US,OR, ,42.9,-122.13,1981,10/12/82,11/28/87
440,CRMO1,Craters of Moon NM ,US,ID, ,43,-114,1798,07/17/82,03/29/86
441,DEAI1,Delta Airport      ,US,CO, ,38.78,-108.07,1575,10/01/79,04/13/81
442,DENA1,Denali NP          ,US,AK, ,63.75,-149.5,640,09/10/86,11/25/87
443,DEVA1,Death Valley NM    ,US,CA, ,36.5,-116.85,125,06/01/82,03/29/86
444,DINO1,Dinosaur NM,US,CO, ,40.25,-108.97,1829,09/01/84,03/25/86
445,FISP1,Fish Springs NWR   ,US,UT, ,39.83,-113.35,1311,11/05/79,08/14/81
517,FOBO1,Fort Bowie NHS,US,AZ, ,32.13,-109.48,1371,08/10/79,08/31/81
446,FOBU1,Fossil Butte NM    ,US,WY, ,41.85,-110.73,2103,10/01/79,08/31/81
447,FOLA1,Fort Laramie NHS   ,US,WY, ,42.12,-104.5,1298,08/10/79,08/31/81
516,FOUN1,Fort Union NM,US,NM, ,35.91,-105.01,2042,09/21/79,08/31/81
448,GAAR1,Gates of the Arctic NP,US,AK, ,66.9,-151.52,196,06/17/87,06/16/93
449,GICL1,Gila Cliff NM      ,US,NM, ,33.23,-108.23,1737,10/01/79,08/31/81
450,GLAC1,Glacier NP         ,US,MT, ,48.5,-113.98,980,09/28/82,12/05/87
451,GRCA1,Hopi Point,US,AZ, ,36.07,-112.15,2164,08/03/79,11/28/87
452,GRQU1,Gran Quivera NM    ,US,NM, ,34.25,-106.08,2018,08/10/79,08/31/81
453,GRSA1,Great Sand Dunes NM,US,CO, ,37.75,-105.5,2499,09/15/80,08/31/81
454,GRSM1,Great Smoky Mountains NP,US,TN, ,35.63,-83.92,762,01/31/84,11/28/87
455,GRTE1,Grand Teton NP     ,US,WY, ,43.68,-110.73,2012,09/07/82,03/18/86
456,GUMO1,Guadalupe Mountains National Park ,US,TX, ,31.85,-104.82,1646,02/19/83,12/02/87
457,HAVO1,Hawaii Volcanoes NP,US,HI, ,19.43,-155.27,1250,10/01/86,06/08/88
458,JEFF1,Jefferson NF       ,US,VA, ,37.67,-79.43,280,11/04/87,09/29/90
459,JORD1,Jordan             ,US,MT, ,20,-58,804,11/09/79,08/31/81
460,JOTR1,Joshua Tree NM     ,US,CA, ,34,-115.98,1402,07/31/82,03/29/86
461,KATM1,Katmai                 ,US,AK, ,58.67,-156.63,5,06/13/87,06/23/93
462,LAAI1,Lander Airport     ,US,WY, ,42.83,-108.75,1646,09/14/79,08/31/81
463,LAAN1,Lake Andes NWR     ,US,SD, , , ,439,09/17/79,08/31/81
464,LABE1,Lava Beds NM       ,US,CA, ,41.7,-121.5,1463,02/05/83,03/29/86
465,LAHI1,Lake Hiddenwood SP ,US,SD, ,45.95,-100,549,09/24/79,08/31/81
466,LAJU1,La Junta Airbase   ,US,CO, ,37.9,-103.42,1326,09/17/79,04/24/81
467,LAVO1,Lassen Volcanic NP ,US,CA, ,40.53,-121.57,1798,06/29/82,05/29/84
468,LECA1,LEHMAN CAVES,US,CA, ,39,-114.23,2080,10/12/82,03/29/86
469,MAAI1,Malta Airport      ,US,MT, ,48.35,-107.9,701,10/12/79,08/31/81
470,MELA1,Medicine Lake NWR  ,US,MT, ,48.8,-104.75,610,09/17/79,08/31/81
471,MEVE1,Mesa Verde NP      ,US,CO, ,37.2,-108.48,2198,10/30/82,12/05/87
472,MOCA1,Montezuma Castle NM,US,AZ, ,34.6,-111.83,975,07/30/79,08/31/81
473,MORA1,Mount Rainier NP   ,US,WA, ,46.78,-121.75,1567,07/23/83,12/16/87
474,MORU1,Mount Rushmore NMEM,US,SD, ,43.88,-103.45,1469,09/24/79,08/31/81
475,MULA1,Murphy Lake NFS    ,US,MT, ,48.75,-114.88,945,09/24/79,08/31/81
476,NOAA1,NW Alaska Areas        ,US,AK, ,68.85,-162.61,23,06/25/86,06/23/93
477,NOCA1,North Cascades NP  ,US,WA, ,48.53,-121.45,122,07/31/84,03/29/86
478,ODEL1,Odell Ranch        ,US,MT, ,45.5,-104.07,1067,09/28/79,08/31/81
479,ORPI1,Organ Pipe NM      ,US,AZ, ,31.95,-112.8,503,07/27/79,08/31/81
480,PEFO1,Petrified Forest NP,US,AZ, ,36,-109.5,1676,07/30/79,11/25/87
481,PINN1,Pinnacles NM       ,US,CA, ,36.48,-121.15,317,11/19/86,11/28/87
482,ROMO1,Rocky Mountain NP  ,US,CO, ,40.37,-105.57,2408,09/21/79,12/02/87
483,RONO1,N Theo. Roos.NP    ,US,ND, ,47.6,-103.25,610,06/05/82,03/04/86
484,ROSO1,S Theo. Roos. NP   ,US,ND, ,46.93,-103.5,713,10/29/79,08/31/81
485,SAGU1,Saguaro NM         ,US,AZ, ,32.17,-110.73,939,07/02/85,07/09/88
486,SALM1,Salmon NF          ,US,ID, ,45.19,-114.09,846,07/01/89,11/13/93
487,SARA1,Saratoga           ,US,WY, ,41.47,-106.78,2134,09/14/79,08/31/81
488,SHEN1,Shenandoah NP      ,US,VA, ,38.55,-78.4,1097,07/13/82,11/28/87
489,TONT1,Tonto NM           ,US,AZ, ,33.63,-111.12,792,08/03/79,11/29/83
