SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
25680,010330044,Tva Colbert 14___3.98 Mi Se Colbert Fp,US,AL,010330044,34.69,-87.82,238,01/01/93,09/30/07
14780,010331002,Muscle Shoals (#2),US,AL,010331002,34.76,-87.64,122,04/01/02,03/31/03
26427,010710020,Tva Widows Crk 11 2.0 Mi Ese Widows Crk,US,AL,010710020,34.88,-85.72,457,01/01/93,09/30/07
12150,010730023,North Birmingham (#2),US,AL,010730023,33.55,-86.81,177,01/01/11,09/20/18
23628,010731003,Fairfield,US,AL,010731003,33.49,-86.92,180,01/01/13,09/30/18
23633,010736004,Sloss Shuttlesworth,US,AL,010736004,33.57,-86.8,179,01/01/17,09/30/18
26514,010790003,Trinity (Closed),US,AL,010790003,34.59,-87.11,277,08/01/97,02/29/00
26519,010830004,9494 Experimental Loop,US,AL,010830004,34.69,-86.88,0,04/01/03,03/31/04
15832,010890014,Huntsville Old Airport (#2),US,AL,010890014,34.69,-86.59,183,11/19/93,05/31/94
15471,010970003,Chickasaw,US,AL,010970003,30.77,-88.09,11,01/01/16,08/31/18
25686,010970028,"U.S. H'Way 43, 5.5 Miles N Of I-65, Axis",US,AL,010970028,30.96,-88.03,12,01/01/93,12/31/99
15786,010972005,Bay Road,US,AL,010972005,30.47,-88.14,20,03/01/00,01/31/06
11568,011011002,"Moms, Adem",US,AL,011011002,32.41,-86.26,76,03/03/94,10/31/98
101061,011179001,"Lhoist, Montevallo Plant",US,AL,011179001,33.09,-86.81,1,01/01/17,09/30/18
98216,011190003,"Ward, Sumter Co.",US,AL,011190003,32.36,-88.28,64,01/04/18,08/31/18
26591,011250010,"Duncanville, Tuscaloosa",US,AL,011250010,33.09,-87.46,69,01/01/13,12/31/13
97954,020900034,Ncore,US,AK,020900034,64.85,-147.73,132,08/01/11,06/30/18
26699,022200008,Heart Lake/.25 Mile Blue Lake Rd,US,AK,022200008,57.05,-135.24,92,01/01/93,10/31/93
26772,040070009,Miami Ridgeline,US,AZ,040070009,33.4,-110.86,1085,01/01/99,09/26/17
98299,040070011,Miami Jones Ranch,US,AZ,040070011,33.39,-110.87,1242,02/21/13,09/29/18
98300,040070012,Miami Townsite,US,AZ,040070012,33.4,-110.87,1035,02/07/13,09/27/18
23665,040071001,Hayden Old Jail (#3),US,AZ,040071001,33.01,-110.79,625,01/01/99,09/30/18
26797,040128000,Alamo Lake,US,AZ,040128000,34.24,-113.56,376,04/01/14,03/23/16
16164,040130019,West Phoenix,US,AZ,040130019,33.48,-112.14,333,01/01/97,12/31/98
23674,040133002,Central Phoenix (#4),US,AZ,040133002,33.46,-112.05,339,01/01/13,09/30/18
23680,040133010,Greenwood,US,AZ,040133010,33.46,-112.12,325,01/01/97,01/31/99
23687,040139812,Durango Complex,US,AZ,040139812,33.43,-112.12,317,01/01/11,09/30/18
15488,040139997,Jlg Supersite,US,AZ,040139997,33.5,-112.1,346,03/04/05,09/30/18
25702,040190021,Saguaro Park,US,AZ,040190021,32.17,-110.74,938,01/01/93,07/31/93
15981,040191028,Children'S Park Ncore,US,AZ,040191028,32.3,-110.98,703,10/01/10,09/30/18
26900,040212001,San Manuel,US,AZ,040212001,32.6,-110.63,332,01/01/93,12/31/07
39434,040278011,Yuma Supersite,US,AZ,040278011,32.69,-114.61,51,02/16/06,03/15/07
26964,050910096,Grey Site,US,AR,050910096,33.19,-94.02,0,04/01/98,03/31/99
26964,050910096,Grey Site (#2),US,AR,050910096,33.19,-94.02,0,04/01/98,03/31/99
26965,050910097,Larey Site (#2),US,AR,050910097,33.32,-94,0,04/01/98,03/31/99
26966,050910098,Mcadams Site (#2),US,AR,050910098,33.33,-94,0,04/01/98,03/31/99
26967,050910099,Robinson Site,US,AR,050910099,33.21,-94,0,04/01/98,03/31/99
26967,050910099,Robinson Site (#2),US,AR,050910099,33.21,-94,0,04/01/98,03/31/99
16137,051190007,Parr,US,AR,051190007,34.76,-92.28,80,01/03/02,12/31/14
16137,051190007,Parr (#2),US,AR,051190007,34.76,-92.28,80,01/05/10,09/30/18
25710,051191002,Nlr Airport,US,AR,051191002,34.84,-92.26,164,01/01/93,12/31/01
23419,051191005,Adeq,US,AR,051191005,34.68,-92.34,0,03/28/02,04/16/02
15410,051390006,El Dorado,US,AR,051390006,33.22,-92.67,55,01/01/93,12/31/16
23421,060010010,Oakland-International Blvd.,US,CA,060010010,37.76,-122.19,10,11/01/01,04/30/03
42035,060010011,Oakland West,US,CA,060010011,37.81,-122.28,0,02/25/09,06/30/18
39439,060012004,Berkeley,US,CA,060012004,37.88,-122.3,6,12/08/07,12/31/10
14932,060130002,Concord,US,CA,060130002,37.94,-122.03,26,01/01/93,06/30/18
27024,060130006,Richmond - 7Th St.,US,CA,060130006,37.95,-122.36,6,01/01/93,06/30/18
