SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
98701,AG01,Laurenti-MAR,AR,AG, ,-30.95,-62.82,83,10/24/11,12/30/14
25316,AK01,Poker Creek,US,AK, ,65.15,-147.49,230,12/29/92,01/27/15
25378,AK02,Juneau,US,AK, ,58.51,-134.78,25,06/22/04,01/27/15
25317,AK03,Denali National Park-Mt. McKinley,US,AK, ,63.72,-148.96,649,06/17/80,01/20/15
25317,AK03,Denali National Park-Mt. McKinley (#2),US,AK, ,63.72,-148.96,649,02/27/90,08/09/94
94944,AK06,Gates of the Arctic National Park - Bettles,US,AK, ,66.91,-151.68,630,11/04/08,01/20/15
98702,AK97,Katmai National Park - King Salmon,US,AK, ,58.68,-156.67,50,11/02/09,01/20/15
25286,AK99,Ambler,US,AK, ,67.09,-157.87,88,05/12/04,06/28/05
25269,AL02,Delta Elementary,US,AL, ,30.79,-87.85,46,06/05/01,12/29/09
98703,AL03,Centreville,US,AL, ,32.9,-87.25,135,02/22/11,01/27/15
25314,AL10,Black Belt Agricultural Experiment Substation,US,AL, ,32.46,-87.24,58,08/31/83,01/27/15
98704,AL19,Birmingham,US,AL, ,33.55,-86.81,200,12/19/12,01/27/15
25525,AL24,Bay Road,US,AL, ,30.47,-88.14,6,05/29/01,12/29/09
25315,AL99,Sand Mountain Agricultural Experiment Station,US,AL, ,34.29,-85.97,349,10/02/84,01/27/15
25322,AR02,Warren 2WSW,US,AR, ,33.6,-92.1,76,05/25/82,01/27/15
25323,AR03,Caddo Valley,US,AR, ,34.18,-93.1,71,12/30/83,01/27/15
25483,AR16,Buffalo National River-Buffalo Point,US,AR, ,36.08,-92.59,308,07/13/82,01/27/15
25324,AR27,Fayetteville,US,AR, ,36.1,-94.17,391,05/13/80,01/27/15
25469,AS01,Samoa,US,AS, ,14.25,-170.56,82,05/20/80,10/06/92
25318,AZ01,Tombstone,US,AZ, ,31.71,-110.06,1398,03/27/79,08/25/81
25320,AZ03,Grand Canyon National Park-Hopi Point,US,AZ, ,36.07,-112.16,2152,08/11/81,01/27/15
25321,AZ06,Organ Pipe Cactus National Monument,US,AZ, ,31.95,-112.8,506,04/15/80,01/27/15
25282,AZ97,Petrified Forest National Park-Rainbow Forest,US,AZ, ,34.82,-109.89,1707,12/03/02,01/27/15
25399,AZ98,Chiricahua,US,AZ, ,32.01,-109.39,1570,02/23/99,01/27/15
25319,AZ99,Oliver Knoll,US,AZ, ,33.07,-109.86,1173,08/25/81,01/27/15
98705,BC22,Haul Road Station,CA,BC, ,54.03,-128.7, ,09/19/12,01/21/15
98706,BC23,Lakelse Lake,CA,BC, ,54.38,-128.58,111,03/20/13,01/21/15
98707,BC24,Port Edward,CA,BC, ,54.22,-130.27,80,01/15/14,01/27/15
94945,CA28,Kings River Experimental Watershed,US,CA, ,37.06,-119.18,2000,04/24/07,01/27/15
25325,CA34,Bishop,US,CA, ,37.37,-118.37,1252,04/15/80,06/15/82
25326,CA42,Tanbark Flat,US,CA, ,34.21,-117.76,853,01/12/82,01/27/15
25327,CA45,Hopland,US,CA, ,39,-123.08,253,10/03/79,01/27/15
25271,CA50,Sagehen Creek,US,CA, ,39.43,-120.24,1940,11/06/01,01/27/15
25408,CA66,Pinnacles National Monument-Bear Valley,US,CA, ,36.48,-121.16,300,11/02/99,01/27/15
25520,CA67,Joshua Tree National Park-Black Rock,US,CA, ,34.07,-116.39, ,09/19/00,01/20/15
25328,CA68,Palomar Mountain,US,CA, ,33.31,-116.85,1695,03/15/83,01/05/88
25329,CA75,Sequoia National Park-Giant Forest,US,CA, ,36.57,-118.78,1902,07/08/80,01/27/15
25330,CA76,Montague,US,CA, ,41.77,-122.48,797,06/25/85,01/27/15
25331,CA85,Channel Islands National Park,US,CA, ,34.02,-119.36,49,07/22/80,02/09/82
25333,CA88,Davis,US,CA, ,38.54,-121.78,18,09/04/78,01/20/15
94946,CA94,"San Bernardino County, California",US,CA, ,34.19,-116.91,1724,05/09/06,01/27/15
25518,CA95,Death Valley National Park-Cow Creek,US,CA, ,36.59,-116.98,125,02/09/00,05/24/05
25516,CA96,Lassen Volcanic National Park-Manzanita Lake,US,CA, ,40.54,-121.54,1756,06/13/00,01/27/15
25332,CA98,Chuchupate Ranger Station,US,CA, ,34.81,-119.01,1614,08/02/83,01/09/96
25334,CA99,Yosemite National Park-Hodgdon Meadow,US,CA, ,37.8,-119.86,1408,12/08/81,01/27/15
25334,CA99,Yosemite National Park-Hodgdon Meadow (#2),US,CA, ,37.8,-119.86,1408,12/20/10,12/20/10
98743,CAN6,Frelighsburg - Intercomparison,CA,QB, ,45.05,-72.86,195,10/06/11,10/06/11
25335,CO00,Alamosa,US,CO, ,37.44,-105.87,2298,04/22/80,01/20/15
25336,CO01,Las Animas Fish Hatchery,US,CO, ,38.12,-103.32,1213,10/04/83,01/27/15
25337,CO02,Niwot Saddle,US,CO, ,40.06,-105.59,3520,06/05/84,01/27/15
25470,CO08,Four Mile Park,US,CO, ,39.4,-107.34,2502,12/29/87,01/27/15
98709,CO09,Kawaneechee Meadow,US,CO, ,40.83,-105.83,2633,07/10/12,01/27/15
25500,CO10,Gothic,US,CO, ,38.96,-106.98,2926,02/02/99,01/27/15
25342,CO15,Sand Spring,US,CO, ,40.51,-107.7,1998,03/20/79,01/27/15
25387,CO18,Ripple Creek Pass,US,CO, ,40.09,-107.3,2984,05/13/03,01/06/09
25471,CO19,Rocky Mountain National Park-Beaver Meadows,US,CO, ,40.36,-105.58,2490,05/29/80,01/27/15
25348,CO21,Manitou,US,CO, ,39.1,-105.09,2362,10/17/78,01/27/15
25349,CO22,Pawnee,US,CO, ,40.81,-104.75,1641,05/22/79,01/27/15
98710,CO89,Rocky Mountain National Park-Loch Vale,US,CO, ,40.29,-105.66,3159,09/29/09,09/23/14
94947,CO90,Niwot Ridge-Southeast,US,CA, ,40.04,-105.54,3015,01/24/06,01/27/15
25341,CO91,Wolf Creek Pass,US,CO, ,37.47,-106.79,3292,05/26/92,01/21/15
25339,CO92,Sunlight Peak,US,CO, ,39.43,-107.38,3206,01/13/88,01/27/15
25345,CO93,Buffalo Pass - Dry Lake,US,CO, ,40.53,-106.78,2527,10/14/86,01/27/15
25338,CO94,Sugarloaf,US,CO, ,39.99,-105.48,2524,11/04/86,01/27/15
25346,CO95,Engineer Mountain Guard Station,US,CO, ,37.66,-107.8,2758,07/29/86,12/26/89
25347,CO96,Molas Pass,US,CO, ,37.75,-107.69,3249,07/29/86,01/27/15
25344,CO97,Buffalo Pass - Summit Lake,US,CO, ,40.54,-106.68,3234,02/07/84,01/27/15
25343,CO98,Rocky Mountain National Park-Loch Vale,US,CO, ,40.29,-105.66,3159,08/16/83,01/27/15
25340,CO99,Mesa Verde National Park-Chapin Mesa,US,CO, ,37.2,-108.49,2172,04/28/81,01/27/15
25501,CT15,Abington,US,CT, ,41.84,-72.01,209,01/26/99,01/26/15
25285,DE99,Trap Pond State Park,US,DE, ,38.5,-75.45,12,05/27/03,09/17/08
25350,FL00,Austin-Cary Forest,US,FL, ,29.76,-82.2,46,10/10/78,07/07/81
25351,FL03,Bradford Forest,US,FL, ,29.97,-82.2,44,10/10/78,01/20/15
25353,FL05,Chassahowitzka National Wildlife Refuge,US,FL, ,28.75,-82.55,3,08/27/96,01/27/15
25354,FL11,Everglades National Park-Research Center,US,FL, ,25.39,-80.68,2,06/17/80,01/27/15
25355,FL14,Quincy,US,FL, ,30.55,-84.6,60,03/13/84,01/27/15
25403,FL23,Sumatra,US,FL, ,30.11,-84.99,14,01/26/99,01/27/15
98711,FL32,Orlando,US,FL, ,28.59,-81.19,21,12/14/05,01/27/15
25472,FL41,Verna Well Field,US,FL, ,27.38,-82.28,25,08/25/83,02/03/15
98712,FL96,Pensacola,US,FL, ,30.55,-87.38,45,01/02/13,01/27/15
25352,FL99,Kennedy Space Center,US,FL, ,28.54,-80.64,2,08/02/83,01/20/15
25356,GA09,Okefenokee National Wildlife Refuge,US,GA, ,30.74,-82.13,47,06/03/97,01/27/15
25357,GA20,Bellville,US,GA, ,32.14,-81.97,62,04/26/83,01/27/15
25358,GA23,Fort Frederica National Monument,US,GA, ,31.23,-81.39,2,09/03/85,09/20/88
25283,GA33,Sapelo Island,US,GA, ,31.4,-81.28,3,11/26/02,01/27/15
25359,GA41,Georgia Station,US,GA, ,33.18,-84.41,270,10/03/78,01/27/15
25360,GA50,Tifton ARS,US,GA, ,31.47,-83.53,104,10/04/83,02/08/94
25276,GA98,Skidaway,US,GA, ,32,-81.02,3,06/18/02,05/17/05
25361,GA99,Chula,US,GA, ,31.52,-83.55,107,02/10/94,01/27/15
25362,HI00,Mauna Loa,US,HI, ,19.54,-155.58,3399,06/10/80,09/21/93
25407,HI99,Hawaii Volcanoes National Park-Thurston,US,HI, ,19.42,-155.24,1195,11/21/00,02/08/05
25380,IA08,Big Springs Fish Hatchery,US,IA, ,42.91,-91.47,229,08/14/84,01/27/15
25382,IA23,McNay Research Center,US,IA, ,40.96,-93.39,320,09/11/84,01/27/15
25381,ID02,Priest River Experimental Forest,US,ID, ,48.35,-116.84,726,12/31/02,01/27/15
25363,ID03,Craters of the Moon National Monument,US,ID, ,43.46,-113.55,1807,08/22/80,01/27/15
