Code,ID
ALf,101
NH4f,136
ammNO3f,907
ammSO4f,900
ASf,102
BRf,104
CAf,105
EC1f,115
EC2f,116
EC3f,117
ECf,114
EC_UCD,3778
OC1f,142
OC2f,143
OC3f,144
OC4f,145
OMCf,3016
OPf,146
OPTf,3699
OCf,141
OC_UCD,3779
TCf,3217
CHLf,108
CLf,109
CRf,112
CUf,113
fAbs,301
fAbs_HIPS,304
fAbs_LIPM,303
RefF_405,3716
RefF_445,3717
RefF_532,3718
RefF_635,3719
RefF_780,3720
RefF_808,3721
RefF_980,3722
TransF_405,3730
TransF_445,3731
TransF_532,3732
TransF_635,3733
TransF_780,3734
TransF_808,3735
TransF_980,3736
FlowRate,3694
Hf,121
RefI_405,3723
RefI_445,3724
RefI_532,3725
RefI_635,3726
RefI_780,3727
RefI_808,3728
RefI_980,3729
TransI_405,3737
TransI_445,3738
TransI_532,3739
TransI_635,3740
TransI_780,3741
TransI_808,3742
TransI_980,3743
FEf,118
PBf,148
MGf,128
MNf,130
MT,132
RCTM,941
MF,127
CM_calculated,903
RCFM,910
RefM_405,3744
RefM_445,3745
RefM_532,3746
RefM_635,3747
RefM_780,3748
RefM_808,3749
RefM_980,3750
TransM_405,3751
TransM_445,3752
TransM_532,3753
TransM_635,3754
TransM_780,3755
TransM_808,3756
TransM_980,3757
MOf,131
NIf,138
NO3f,139
N2f,133
OP405TR,3704
OP445TR,3705
OP532TR,3706
OP780TR,3707
OP808TR,3708
OP980TR,3709
OP405TT,3710
OP445TT,3711
OP532TT,3712
OP780TT,3713
OP808TT,3714
OP980TT,3715
Pf,147
Kf,124
RBf,150
SampDur,3695
SeaSaltf,3014
SEf,153
SIf,154
NAf,134
SOILf,911
SRf,158
SO4f,156
Sf,151
SO2,202
TIf,159
Vf,160
ZNf,162
ZRf,163
