SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
1,ACAD1,Acadia NP,US,ME,230090103,44.38,-68.26,157,01/01/00,01/01/05
144,ADPI1,Addison Pinnacle,US,NY,361019000,42.09,-77.21,512,01/01/00,01/01/05
100,AGTI1,Agua Tibia,US,CA,060659000,33.46,-116.97,508,01/01/00,01/01/05
138,AREN1,Arendtsville,US,PA,420019000,39.92,-77.31,267,01/01/00,01/01/05
59,BADL1,Badlands NP,US,SD,460710001,43.74,-101.94,736,01/01/00,01/01/05
43,BALD1,Mount Baldy,US,AZ,040018001,34.06,-109.44,2509,01/01/00,01/01/05
25532,BALT1,Baltimore,US,MD,240059000,39.25,-76.71,78,01/01/05,01/01/05
33,BAND1,Bandelier NM,US,NM,350281002,35.78,-106.27,1988,01/01/00,01/01/05
31,BIBE1,Big Bend NP,US,TX,480430101,29.3,-103.18,1067,01/01/00,01/01/05
25533,BIRM1,North Birmingham,US,AL,010730023,33.55,-86.81,176,01/01/00,01/01/05
95,BLIS1,Bliss SP (TRPA),US,CA,060179000,38.98,-120.1,2131,01/01/00,01/01/05
147,BLMO1,Blue Mounds,US,MN,271339000,43.72,-96.19,473,01/01/00,01/01/05
38,BOAP1,Bosque del Apache,US,NM,350539000,33.87,-106.85,1390,01/01/00,01/01/05
59989,BOLA1,Boulder Lake,US,WY, ,42.85,-109.64,2296,01/01/00,01/01/00
140,BOND1,Bondville,US,IL,170191001,40.05,-88.37,263,01/01/00,01/01/05
23,BOWA1,Boundary Waters Canoe Area,US,MN,270759000,47.95,-91.5,527,01/01/00,01/01/05
49,BRCA1,Bryce Canyon NP,US,UT,490170101,37.62,-112.17,2481,01/01/00,01/01/05
20,BRET1,Breton,US,LA,220759000,29.12,-89.21,11,01/01/00,01/01/00
65,BRID1,Bridger Wilderness,US,WY,560359000,42.97,-109.76,2627,01/01/00,01/01/05
5,BRIG1,Brigantine NWR,US,NJ,340019000,39.47,-74.45,5,01/01/00,01/01/05
42018,BRIS1,Breton Island,US,LA,220759000,30.11,-89.76,-7,01/01/00,01/01/05
115,BRLA1,Brooklyn Lake,US,WY,560019000,41.37,-106.24,3196,01/01/00,01/01/00
