SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
1,ACAD1,Acadia NP,US,ME,230090103,44.38,-68.26,157,04/01/93,03/31/19
31,BIBE1,Big Bend NP,US,TX,480430101,29.3,-103.18,1067,01/01/98,03/31/19
95,BLIS1,Bliss SP (TRPA),US,CA,060179000,38.98,-120.1,2131,07/01/96,03/31/06
23,BOWA1,Boundary Waters Canoe Area,US,MN,270759000,47.95,-91.5,527,04/01/93,12/31/97
5,BRIG1,Brigantine NWR,US,NJ,340019000,39.47,-74.45,5,04/01/93,06/30/94
156,CEBL1,Cedar Bluff,US,KS,201950001,38.77,-99.76,666,07/01/04,09/30/07
23606,CHIR1,Chiricahua National Monument,US,AZ, ,32.01,-109.39,243,10/01/03,06/30/10
23607,CHPA1,Children's Park - Tuscon,US,AZ, ,32.3,-110.98,704,04/01/03,09/30/10
23225,COGO2,Columbia River Gorge #2,US,WA, ,45.57,-122.21,243,04/01/01,03/31/05
23608,COHU1,Cohutta,US,GA, ,34.79,-84.62,743,01/01/04,03/31/07
113,CORI1,Columbia River Gorge,US,WA,530390011,45.66,-121,179,07/01/93,03/31/05
23226,CRAY1,Tucson,US,AZ, ,32.2,-110.88,1707,01/01/01,09/30/10
8,DOSO1,Dolly Sods Wilderness,US,WV,540939000,39.11,-79.43,1182,04/01/93,12/31/06
23609,DYRT1,Dysart - Phoenix,US,AZ, ,33.64,-112.34,364,07/01/03,06/30/16
23227,ESTR1,Estrella Mountain Regional Park,US,AZ, ,33.38,-112.38,290,01/01/03,06/30/16
42,GICL1,Gila Wilderness,US,NM,350039000,33.22,-108.24,1776,04/01/94,12/31/03
39351,GLAC2,Glacier NP,US,MT, ,48.51,-114,939,10/01/07,03/31/19
41881,GRBA2,Great Basin NP,US,NV,320339000,39.01,-114.22,2066,01/01/08,03/31/19
48,GRCA2,Hance Camp at Grand Canyon NP,US,AZ,040058102,35.97,-111.98,2267,10/01/97,03/31/19
23228,GRER1,Greer Arizona,US,AZ, ,34.07,-109.44,2513,04/01/01,06/30/10
4,GRGU1,Great Gulf Wilderness,US,NH,330074002,44.31,-71.22,454,04/01/95,03/31/05
10,GRSM1,Great Smoky Mountains NP,US,TN,470090101,35.63,-83.94,811,04/01/93,03/31/19
94954,GRTE1,Grand Teton National Park,US,WY, ,43.67,-110.6,2105,07/01/11,03/31/19
192,GRVS1,Green River Visibility Study,US,WY, ,41.84,-109.61,1950,07/01/96,12/31/00
193,HUMB1,Humble Mountain,US,AZ, ,33.98,-111.78,1586,01/01/97,12/31/03
46,IKBA1,Ike's Backbone,US,AZ,040258104,34.34,-111.68,1298,04/01/01,06/30/10
118,INGA1,Indian Gardens,US,AZ,040058100,36.08,-112.13,1166,04/01/04,09/30/13
68,JARB1,Jarbidge Wilderness,US,NV,320079000,41.89,-115.43,1869,04/01/93,12/31/97
7,JARI1,James River Face Wilderness,US,VA,511639000,37.63,-79.51,290,10/01/00,12/31/03
116,LOPE1,Lone Peak Wilderness,US,UT,490499000,40.44,-111.71,1768,10/01/93,09/30/01
23229,LTBV1,Lake Tahoe Blvd.,US,CA, ,38.95,-119.96,1902,01/01/96,09/30/04
39349,LTBV2,Lake Tahoe Blvd.,US,CA, ,38.93,-119.96,1904,10/01/05,03/31/06
3,LYBR1,Lye Brook Wilderness,US,VT,500038001,43.15,-73.13,1015,07/01/93,12/31/03
9,MACA1,Mammoth Cave NP,US,KY,210619000,37.13,-86.15,235,01/01/93,03/31/19
23230,MAYV1,Mayville,US,WI, ,43.44,-88.53,306,10/01/00,12/31/06
194,MAZA1,Mazatzal,US,AZ, ,33.91,-111.43,2164,01/01/97,09/30/00
195,MCFD1,McFadden Peak,US,AZ, ,34,-111,2175,10/01/97,03/31/00
25550,MILW1,Milwaukee,US,WI, ,43,-87.89,193,04/01/04,06/30/06
78,MORA1,Mount Rainier NP,US,WA,530530014,46.76,-122.12,439,01/01/93,03/31/19
58,MOZI1,Mount Zirkel Wilderness,US,CO,080579000,40.54,-106.68,3243,10/01/93,09/30/09
197,MUSR1,Muleshoe Ranch,US,AZ, ,32.35,-110.23,1402,07/01/97,06/30/05
23610,NACA1,"National Capitol - Central, Washington D.C",US,DC, ,38.9,-77.04,514,04/01/03,03/31/16
151,NEBR1,Nebraska NF,US,NE,311719000,41.89,-100.34,883,07/01/05,09/30/07
16,OKEF1,Okefenokee NWR,US,GA,130499000,30.74,-82.13,48,01/01/93,06/30/97
23611,ORPI1,Organ Pipe National Monument,US,AZ, ,31.95,-112.8,366,04/01/03,06/30/10
360,PEFO3,Petrified Forest NP,US,AZ, ,34.91,-109.8,1690,10/01/03,06/30/10
199,PHON1,Phoenix,US,AZ, ,33.5,-112.1,372,04/01/97,06/30/18
23231,QUAK1,Quaker City,US,OH, ,39.94,-81.34,372,04/01/02,03/31/04
23613,QUVA1,Queen Valley - Superstition Wilderness,US,AZ, ,33.29,-111.29,668,04/01/03,06/30/10
15,ROMA1,Cape Romain NWR,US,SC,450190046,32.94,-79.66,5,01/01/04,12/31/12
41882,ROMO3,Rocky Mountain NP,US,CO, ,40.28,-105.55,2760,01/01/08,03/31/19
200,RUCA1,Rucard Canyon,US,AZ, ,31.78,-109.3,1637,10/01/97,06/30/01
23232,SENY1,Seney NWR,US,MI, ,46.29,-85.95,216,01/01/02,06/30/06
6,SHEN1,Shenandoah NP,US,VA,511139000,38.52,-78.43,1079,07/01/96,03/31/19
11,SHRO1,Shining Rock Wilderness,US,NC,370870035,35.39,-82.77,1617,04/01/94,09/30/99
45,SIAN1,Sierra Ancha,US,AZ,040078100,34.09,-110.94,1600,07/01/00,06/30/10
80,SNPA1,Snoqualmie Pass,US,WA,530370004,47.42,-121.43,1049,07/01/93,06/30/01
47,SYCA1,Sycamore Canyon,US,AZ,040058103,35.14,-111.97,2046,07/01/98,06/30/10
84,THSI1,Three Sisters Wilderness,US,OR,410390070,44.29,-122.04,885,07/01/93,06/30/01
204,TUCN1,Tucson Central,US,AZ, ,32.24,-110.96,745,04/01/97,06/30/09
206,TUMO1,Tucson Mountain #1,US,AZ, ,32.28,-111.17,754,10/01/96,12/31/01
23233,TUMO2,Tucson Mountain #2,US,AZ, ,32.28,-111.17,754,10/01/01,06/30/10
27,UPBU1,Upper Buffalo Wilderness,US,AR,051019000,35.83,-93.2,723,01/01/93,09/30/09
23614,VEIX1,Vehicle Emissions - Phoenix,US,AZ, ,33.46,-112,345,04/01/03,06/30/16
106,VIIS1,Virgin Islands NP,US,VI,780209000,18.34,-64.8,51,04/01/98,09/30/05
30,WIMO1,Wichita Mountains,US,OK,400319000,34.73,-98.71,509,07/01/04,09/30/07
