SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
328,AMBO3,Amboy,US,CA, ,34.56,-115.55,213,01/14/92,02/15/92
329,BAKE3,Baker,US,CA, ,35.28,-116.07,283,01/15/92,09/02/92
330,BARS3,Barstow,US,CA, ,34.92,-116.95,590,07/12/92,09/02/92
331,BRCA3,Bryce Canyon,US,UT, ,37.62,-112.17,2438,01/18/92,09/02/92
332,CAJO3,Cajon Pass,US,CA, ,34.33,-117.4,1076,01/14/92,09/02/92
333,CAJO4,Cajon Pass,US,CA, ,34.33,-117.4,1076,07/12/92,09/02/92
334,CIBO3,Cibola National Wildlife Refuge,US,CA, ,33.3,-114.7,73,07/19/92,08/30/92
335,COCO3,Cottonwood Cove; West,US,NV, ,35.48,-114.68,274,01/10/92,09/02/92
336,DARO3,Dangling Rope,US,UT, ,37.13,-111.05,1158,01/31/92,02/12/92
337,DECE3,Desert Center,US,CA, ,33.7,-115.37,270,07/12/92,09/02/92
338,DOSP3,Dolan Springs,US,AZ, ,35.58,-114.28,853,01/14/92,09/02/92
339,ELCE3,El Centro,US,CA, ,32.83,-115.38,-4,07/22/92,09/02/92
340,ESSE3,Essex,US,CA, ,34.75,-115.25,520,07/12/92,09/02/92
341,GRCA3,Grandview Point; GCNP,US,AZ, ,36,-111.99,2256,01/14/92,09/02/92
342,GRCA5,Grandview Point; GCNP,US,AZ, ,36,-111.99,2256,01/14/92,09/02/92
343,HUMO3,Hualapi Mountain,US,AZ, ,35.12,-113.87,2408,01/14/92,02/15/92
344,INGA3,Indian Gardens,US,AZ, ,36.08,-112.12,1158,01/15/92,02/15/92
345,INGA5,Indian Gardens,US,AZ, ,36.08,-112.12,1158,01/14/92,02/15/92
346,JALA3,Jacob Lake LAKE,US,AZ, ,36.7,-112.22,2487,01/14/92,02/15/92
347,JOTR2,Joshua Tree,US,CA, ,34.05,-116.23,1250,01/14/92,02/15/92
348,JOTR3,Joshua Tree,US,CA, ,34.05,-116.23,1250,01/14/92,09/02/92
349,KELS3,Kelso,US,CA, ,34.9,-115.65,860,07/12/92,09/02/92
350,KING3,Kingman,US,AZ, ,35.25,-114.05,1040,07/12/92,09/02/92
351,LVWA3,Las Vegas Wash,US,NV, ,36.12,-114.85,457,01/16/92,09/02/92
352,MACN3,Marble Canyon,US,AZ, ,36.8,-111.65,1219,01/14/92,02/15/92
353,MEAD5,Meadview,US,AZ, ,36.02,-114.07,905,01/14/92,09/02/92
354,MEAD6,Meadview,US,AZ, ,36.02,-114.07,905,01/14/92,09/02/92
355,MOSP3,Mountain Springs Summit,US,NV, ,35.98,-115.52,1753,01/14/92,09/02/92
356,NEHA3,New Harmony,US,UT, ,37.5,-113.3,1524,01/16/92,08/26/92
357,OVBE3,Overton Beach,US,NV, ,36.43,-114.37,396,01/14/92,08/20/92
358,PARK3,Parker,US,AZ, ,34.15,-114.27,137,01/11/92,09/02/92
359,PAUL3,Paulden,US,AZ, ,34.92,-112.57,1341,01/14/92,02/15/92
360,PEFO3,Petrified Forest NP,US,AZ, ,34.91,-109.8,1690,01/14/92,09/02/92
361,SAGO3,San Gorgonio Wilderness,US,CA, ,34.19,-116.91,1710,01/14/92,09/02/92
362,SELI3,Seligman,US,AZ, ,35.28,-112.48,1661,01/15/92,09/02/92
363,SPMO3,Spirit Mountain,US,NV, ,35.25,-114.73,1498,01/15/92,09/02/92
364,SPMO4,Spirit Mountain,US,NV, ,35.25,-114.73,1498,07/12/92,09/02/92
365,SQMO3,Squaw Mountain,US,AZ, ,35.22,-113.1,1981,01/15/92,09/02/92
366,SYCA3,Sycamore Canyon,US,AZ, ,35.15,-111.98,1890,01/14/92,09/02/92
367,TEHA3,Tehachapi Summit,US,CA, ,35.1,-118.43,1280,01/14/92,09/02/92
368,TONT3,Tonto National Forest,US,NM, ,33.65,-111.12,732,01/14/92,09/02/92
369,TRUX3,Truxton,US,AZ, ,35.49,-113.56,1350,01/15/92,09/02/92
370,WICK3,Wickenburg,US,AZ, ,33.93,-112.8,732,01/14/92,09/01/92
371,YUCC3,Yucca,US,AZ, ,34.75,-114.17,579,01/14/92,09/02/92
