Site,Code,Dataset,State,County,Latitude,Longitude,Elevation,StartDate,EndDate,NumPOCs,ID
Jefferson NF,JEFF1,IMPFSPED,VA,51163,37.61670,-79.48330,219,09/03/1994,02/26/2000,1,174
Joshua Tree NP,JOSH1,IMPFSPED,CA,06071,34.06957,-116.38895,1235,02/23/2000,10/29/2018,2,175
Joshua Tree NP,JOTR1,IMPFSPED,CA,06071,34.06955,-116.38899,1228,09/04/1991,12/29/1999,1,101
Kaiser,KAIS1,IMPFSPED,CA,06019,37.22070,-119.15460,2597,01/26/2000,10/29/2018,1,111
Kalmiopsis,KALM1,IMPFSPED,OR,41033,42.55200,-124.05890,80,03/11/2000,10/29/2018,1,89
Kenai Peninsula Borough,KPBO1,IMPFSPED,AK,02122,60.01232,-151.71149,5,08/19/2015,10/29/2018,1,100878
Lake Sugema,LASU1,IMPFSPED,IA,19177,40.68830,-91.98830,210,05/08/2002,11/29/2004,1,25542
Lake Sugema,LASU2,IMPFSPED,IA,-999,40.69320,-92.00590,229,12/02/2004,10/29/2018,1,148
Lake Tahoe Community College,LTCC1,IMPFSPED,CA,06017,38.92480,-119.97990,1935,02/19/2014,10/29/2018,1,98751
Lassen Volcanic NP,LAVO1,IMPFSPED,CA,06089,40.53980,-121.57680,1732,03/02/1988,10/29/2018,2,90
Lava Beds NM,LABE1,IMPFSPED,CA,06093,41.71170,-121.50680,1459,03/29/2000,10/29/2018,1,87
Lawrenceville,PITT1,IMPFSPED,PA,42003,40.46540,-79.96070,268,03/01/2004,10/29/2018,1,25539
Linville Gorge,LIGO1,IMPFSPED,NC,37011,35.97230,-81.93310,968,04/01/2000,10/29/2018,1,13
Livonia,LIVO1,IMPFSPED,IN,18175,38.53460,-86.26040,281,03/08/2001,12/31/2010,1,141
Londonderry,LOND1,IMPFSPED,NH,-999,42.86240,-71.38010,124,01/03/2011,10/29/2018,1,94953
Lone Peak Wilderness,LOPE1,IMPFSPED,UT,49049,40.44490,-111.70810,1768,12/01/1993,08/29/2001,1,116
Lostwood,LOST1,IMPFSPED,ND,38013,48.64190,-102.40220,696,12/15/1999,10/29/2018,1,62
Lye Brook Wilderness,LYBR1,IMPFSPED,VT,50003,43.14820,-73.12680,1015,09/04/1991,09/30/2012,1,3
Lye Brook Wilderness,LYEB1,IMPFSPED,VT,50025,42.95610,-72.90980,882,01/01/2012,10/29/2018,1,98214
Lynden,LYND1,IMPFSPED,WA,53073,48.95330,-122.55860,28,10/16/1996,12/29/1999,1,176
M.K. Goddard,MKGO1,IMPFSPED,PA,42085,41.42690,-80.14530,379,04/04/2001,12/31/2010,1,137
Makah Tribe,MAKA1,IMPFSPED,WA,-999,48.37185,-124.59500,-999,09/02/2006,10/29/2010,1,39342
Makah Tribe Site #2,MAKA2,IMPFSPED,WA,-999,48.29782,-124.62488,480,11/01/2010,10/29/2018,1,77389
Mammoth Cave NP,MACA1,IMPFSPED,KY,21061,37.13180,-86.14790,235,09/04/1991,10/29/2018,2,9
Martha's Vineyard,MAVI1,IMPFSPED,MA,25007,41.33090,-70.78460,2,12/01/2002,10/29/2018,1,133
Meadview,MEAD1,IMPFSPED,AZ,04015,36.01930,-114.06840,902,09/04/1991,10/29/2018,1,125
Medicine Lake,MELA1,IMPFSPED,MT,30091,48.48710,-104.47570,606,12/15/1999,10/29/2018,2,63
Mesa Verde NP,MEVE1,IMPFSPED,CO,08083,37.19840,-108.49070,2172,03/02/1988,10/29/2018,2,54
Mingo,MING1,IMPFSPED,MO,29207,36.97170,-90.14320,111,06/03/2000,10/29/2018,1,26
Mohawk Mt.,MOMO1,IMPFSPED,CT,09005,41.82140,-73.29730,521,09/13/2001,10/29/2018,1,134
Monture,MONT1,IMPFSPED,MT,30077,47.12220,-113.15440,1282,03/29/2000,10/29/2018,1,73
Moosehorn NWR,MOOS1,IMPFSPED,ME,23029,45.12590,-67.26610,77,12/03/1994,10/29/2018,1,2
Mount Baldy,BALD1,IMPFSPED,AZ,04001,34.05840,-109.44060,2508,03/01/2000,10/29/2018,1,43
Mount Hood,MOHO1,IMPFSPED,OR,41005,45.28880,-121.78370,1531,03/15/2000,10/29/2018,1,85
Mount Rainier NP,MORA1,IMPFSPED,WA,53053,46.75830,-122.12440,439,03/02/1988,10/29/2018,1,78
Mount Zirkel Wilderness,MOZI1,IMPFSPED,CO,08057,40.53830,-106.67660,3243,06/01/1994,10/29/2018,1,58
Nebraska NF,NEBR1,IMPFSPED,NE,31171,41.88880,-100.33870,883,06/01/2002,10/29/2018,1,151
