SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
98701,AG01,Laurenti-MAR,AR,AG, ,-30.95,-62.82,83,01/01/11,01/01/15
25316,AK01,Poker Creek,US,AK, ,65.15,-147.49,230,01/01/93,01/01/15
25378,AK02,Juneau,US,AK, ,58.51,-134.78,25,01/01/04,01/01/15
25317,AK03,Denali National Park-Mt. McKinley,US,AK, ,63.72,-148.96,649,01/01/80,01/01/15
94944,AK06,Gates of the Arctic National Park - Bettles,US,AK, ,66.91,-151.68,630,01/01/08,01/01/15
98702,AK97,Katmai National Park - King Salmon,US,AK, ,58.68,-156.67,50,01/01/09,01/01/15
25286,AK99,Ambler,US,AK, ,67.09,-157.87,88,01/01/04,01/01/05
25269,AL02,Delta Elementary,US,AL, ,30.79,-87.85,46,01/01/01,01/01/10
98703,AL03,Centreville,US,AL, ,32.9,-87.25,135,01/01/11,01/01/15
25314,AL10,Black Belt Agricultural Experiment Substation,US,AL, ,32.46,-87.24,58,01/01/83,01/01/15
98704,AL19,Birmingham,US,AL, ,33.55,-86.81,200,01/01/12,01/01/15
25525,AL24,Bay Road,US,AL, ,30.47,-88.14,6,01/01/01,01/01/10
25315,AL99,Sand Mountain Agricultural Experiment Station,US,AL, ,34.29,-85.97,349,01/01/84,01/01/15
25322,AR02,Warren 2WSW,US,AR, ,33.6,-92.1,76,01/01/82,01/01/15
25323,AR03,Caddo Valley,US,AR, ,34.18,-93.1,71,01/01/83,01/01/15
25483,AR16,Buffalo National River-Buffalo Point,US,AR, ,36.08,-92.59,308,01/01/82,01/01/15
25324,AR27,Fayetteville,US,AR, ,36.1,-94.17,391,01/01/80,01/01/15
25469,AS01,Samoa,US,AS, ,14.25,-170.56,82,01/01/80,01/01/92
25318,AZ01,Tombstone,US,AZ, ,31.71,-110.06,1398,01/01/79,01/01/81
25320,AZ03,Grand Canyon National Park-Hopi Point,US,AZ, ,36.07,-112.16,2152,01/01/81,01/01/15
25321,AZ06,Organ Pipe Cactus National Monument,US,AZ, ,31.95,-112.8,506,01/01/80,01/01/15
25282,AZ97,Petrified Forest National Park-Rainbow Forest,US,AZ, ,34.82,-109.89,1707,01/01/02,01/01/15
25399,AZ98,Chiricahua,US,AZ, ,32.01,-109.39,1570,01/01/99,01/01/15
25319,AZ99,Oliver Knoll,US,AZ, ,33.07,-109.86,1173,01/01/81,01/01/15
98705,BC22,Haul Road Station,CA,BC, ,54.03,-128.7, ,01/01/12,01/01/15
98706,BC23,Lakelse Lake,CA,BC, ,54.38,-128.58,111,01/01/13,01/01/15
98707,BC24,Port Edward,CA,BC, ,54.22,-130.27,80,01/01/14,01/01/15
94945,CA28,Kings River Experimental Watershed,US,CA, ,37.06,-119.18,2000,01/01/07,01/01/15
25325,CA34,Bishop,US,CA, ,37.37,-118.37,1252,01/01/80,01/01/82
25326,CA42,Tanbark Flat,US,CA, ,34.21,-117.76,853,01/01/82,01/01/15
25327,CA45,Hopland,US,CA, ,39,-123.08,253,01/01/79,01/01/15
25271,CA50,Sagehen Creek,US,CA, ,39.43,-120.24,1940,01/01/01,01/01/15
25408,CA66,Pinnacles National Monument-Bear Valley,US,CA, ,36.48,-121.16,300,01/01/99,01/01/15
25520,CA67,Joshua Tree National Park-Black Rock,US,CA, ,34.07,-116.39, ,01/01/00,01/01/15
25328,CA68,Palomar Mountain,US,CA, ,33.31,-116.85,1695,01/01/83,01/01/88
25329,CA75,Sequoia National Park-Giant Forest,US,CA, ,36.57,-118.78,1902,01/01/80,01/01/15
25330,CA76,Montague,US,CA, ,41.77,-122.48,797,01/01/85,01/01/15
25331,CA85,Channel Islands National Park,US,CA, ,34.02,-119.36,49,01/01/80,01/01/82
25333,CA88,Davis,US,CA, ,38.54,-121.78,18,01/01/78,01/01/15
94946,CA94,"San Bernardino County, California",US,CA, ,34.19,-116.91,1724,01/01/06,01/01/15
25518,CA95,Death Valley National Park-Cow Creek,US,CA, ,36.59,-116.98,125,01/01/00,01/01/05
25516,CA96,Lassen Volcanic National Park-Manzanita Lake,US,CA, ,40.54,-121.54,1756,01/01/00,01/01/15
25332,CA98,Chuchupate Ranger Station,US,CA, ,34.81,-119.01,1614,01/01/83,01/01/96
25334,CA99,Yosemite National Park-Hodgdon Meadow,US,CA, ,37.8,-119.86,1408,01/01/81,01/01/15
98739,CAN1,Lethbridge,CA,CN, ,49.64,-112.79,913,01/01/81,01/01/84
98740,CAN2,Mount Forest,CA,CN, ,43.99,-80.75,410,01/01/81,01/01/84
98741,CAN3,Kejimkujik National Park,CA,CN, ,44.43,-65.21,152,01/01/81,01/01/84
98742,CAN4,Sutton,CA,QB, ,45.08,-72.68,244,01/01/86,01/01/01
98708,CAN5,Frelighsburg,CA,QB, ,45.05,-72.86,195,01/01/01,01/01/15
98743,CAN6,Frelighsburg - Intercomparison,CA,QB, ,45.05,-72.86,195,01/01/11,01/01/12
25335,CO00,Alamosa,US,CO, ,37.44,-105.87,2298,01/01/80,01/01/15
25336,CO01,Las Animas Fish Hatchery,US,CO, ,38.12,-103.32,1213,01/01/83,01/01/15
25337,CO02,Niwot Saddle,US,CO, ,40.06,-105.59,3520,01/01/84,01/01/15
25470,CO08,Four Mile Park,US,CO, ,39.4,-107.34,2502,01/01/88,01/01/15
98709,CO09,Kawaneechee Meadow,US,CO, ,40.83,-105.83,2633,01/01/12,01/01/15
25500,CO10,Gothic,US,CO, ,38.96,-106.98,2926,01/01/99,01/01/15
25342,CO15,Sand Spring,US,CO, ,40.51,-107.7,1998,01/01/79,01/01/15
25387,CO18,Ripple Creek Pass,US,CO, ,40.09,-107.3,2984,01/01/03,01/01/09
25471,CO19,Rocky Mountain National Park-Beaver Meadows,US,CO, ,40.36,-105.58,2490,01/01/80,01/01/15
25348,CO21,Manitou,US,CO, ,39.1,-105.09,2362,01/01/78,01/01/15
25349,CO22,Pawnee,US,CO, ,40.81,-104.75,1641,01/01/79,01/01/15
98710,CO89,Rocky Mountain National Park-Loch Vale,US,CO, ,40.29,-105.66,3159,01/01/09,01/01/14
94947,CO90,Niwot Ridge-Southeast,US,CA, ,40.04,-105.54,3015,01/01/06,01/01/15
25341,CO91,Wolf Creek Pass,US,CO, ,37.47,-106.79,3292,01/01/92,01/01/15
25339,CO92,Sunlight Peak,US,CO, ,39.43,-107.38,3206,01/01/88,01/01/15
25345,CO93,Buffalo Pass - Dry Lake,US,CO, ,40.53,-106.78,2527,01/01/86,01/01/15
25338,CO94,Sugarloaf,US,CO, ,39.99,-105.48,2524,01/01/86,01/01/15
25346,CO95,Engineer Mountain Guard Station,US,CO, ,37.66,-107.8,2758,01/01/86,01/01/89
25347,CO96,Molas Pass,US,CO, ,37.75,-107.69,3249,01/01/86,01/01/15
25344,CO97,Buffalo Pass - Summit Lake,US,CO, ,40.54,-106.68,3234,01/01/84,01/01/15
25343,CO98,Rocky Mountain National Park-Loch Vale,US,CO, ,40.29,-105.66,3159,01/01/83,01/01/15
25340,CO99,Mesa Verde National Park-Chapin Mesa,US,CO, ,37.2,-108.49,2172,01/01/81,01/01/15
25501,CT15,Abington,US,CT, ,41.84,-72.01,209,01/01/99,01/01/15
25285,DE99,Trap Pond State Park,US,DE, ,38.5,-75.45,12,01/01/03,01/01/08
25350,FL00,Austin-Cary Forest,US,FL, ,29.76,-82.2,46,01/01/78,01/01/81
25351,FL03,Bradford Forest,US,FL, ,29.97,-82.2,44,01/01/78,01/01/15
25353,FL05,Chassahowitzka National Wildlife Refuge,US,FL, ,28.75,-82.55,3,01/01/96,01/01/15
25354,FL11,Everglades National Park-Research Center,US,FL, ,25.39,-80.68,2,01/01/80,01/01/15
25355,FL14,Quincy,US,FL, ,30.55,-84.6,60,01/01/84,01/01/15
25403,FL23,Sumatra,US,FL, ,30.11,-84.99,14,01/01/99,01/01/15
98711,FL32,Orlando,US,FL, ,28.59,-81.19,21,01/01/05,01/01/15
25472,FL41,Verna Well Field,US,FL, ,27.38,-82.28,25,01/01/83,01/01/15
98712,FL96,Pensacola,US,FL, ,30.55,-87.38,45,01/01/13,01/01/15
25352,FL99,Kennedy Space Center,US,FL, ,28.54,-80.64,2,01/01/83,01/01/15
25356,GA09,Okefenokee National Wildlife Refuge,US,GA, ,30.74,-82.13,47,01/01/97,01/01/15
25357,GA20,Bellville,US,GA, ,32.14,-81.97,62,01/01/83,01/01/15
25358,GA23,Fort Frederica National Monument,US,GA, ,31.23,-81.39,2,01/01/85,01/01/88
25283,GA33,Sapelo Island,US,GA, ,31.4,-81.28,3,01/01/02,01/01/15
25359,GA41,Georgia Station,US,GA, ,33.18,-84.41,270,01/01/78,01/01/15
25360,GA50,Tifton ARS,US,GA, ,31.47,-83.53,104,01/01/83,01/01/94
25276,GA98,Skidaway,US,GA, ,32,-81.02,3,01/01/02,01/01/05
25361,GA99,Chula,US,GA, ,31.52,-83.55,107,01/01/94,01/01/15
25362,HI00,Mauna Loa,US,HI, ,19.54,-155.58,3399,01/01/80,01/01/93
25407,HI99,Hawaii Volcanoes National Park-Thurston,US,HI, ,19.42,-155.24,1195,01/01/00,01/01/05
25380,IA08,Big Springs Fish Hatchery,US,IA, ,42.91,-91.47,229,01/01/84,01/01/15
25382,IA23,McNay Research Center,US,IA, ,40.96,-93.39,320,01/01/84,01/01/15
25381,ID02,Priest River Experimental Forest,US,ID, ,48.35,-116.84,726,01/01/03,01/01/15
25363,ID03,Craters of the Moon National Monument,US,ID, ,43.46,-113.55,1807,01/01/80,01/01/15
25364,ID04,Headquarters,US,ID, ,46.63,-115.82,969,01/01/82,01/01/91
25365,ID11,Reynolds Creek,US,ID, ,43.21,-116.75,1198,01/01/83,01/01/15
25366,ID15,Smiths Ferry,US,ID, ,44.3,-116.06,1442,01/01/84,01/01/06
25367,IL11,Bondville,US,IL, ,40.05,-88.37,212,01/01/79,01/01/15
25369,IL18,Shabbona,US,IL, ,41.84,-88.85,265,01/01/81,01/01/15
25370,IL19,Argonne,US,IL, ,41.7,-88,229,01/01/80,01/01/04
25371,IL35,Southern Illinois University,US,IL, ,37.71,-89.27,146,01/01/79,01/01/93
25502,IL46,Alhambra,US,IL, ,38.87,-89.62,164,01/01/99,01/01/15
25372,IL47,Salem,US,IL, ,38.64,-88.97,173,01/01/80,01/01/88
25373,IL63,Dixon Springs Agricultural Center,US,IL, ,37.44,-88.67,161,01/01/79,01/01/15
25374,IL78,Monmouth,US,IL, ,40.93,-90.72,229,01/01/85,01/01/15
100873,IL95,Bondville DC NCON Comparison,US,IL, ,40.05,-88.37,212,01/01/15,01/01/15
25473,IL99,Omega,US,IL, ,38.71,-88.75,153,01/01/89,01/01/93
25375,IN20,Roush Lake,US,IN, ,40.84,-85.46,244,01/01/83,01/01/15
25376,IN22,Southwest Purdue Agriculture Center,US,IN, ,38.74,-87.49,134,01/01/84,01/01/15
25377,IN34,Indiana Dunes National Lakeshore,US,IN, ,41.63,-87.09,208,01/01/80,01/01/15
25379,IN41,Agronomy Center for Research and Extension,US,IN, ,40.48,-86.99,215,01/01/82,01/01/15
25383,KS07,Farlington Fish Hatchery,US,KS, ,37.65,-94.8,281,01/01/84,01/01/15
25484,KS31,Konza Prairie,US,KS, ,39.1,-96.61,350,01/01/82,01/01/15
25384,KS32,Lake Scott State Park,US,KS, ,38.67,-100.92,863,01/01/84,01/01/15
100874,KS97,Kickapoo Tribe - Powhattan,US,KS, ,39.76,-95.64,367,01/01/15,01/01/15
25385,KY03,Mackville,US,KY, ,37.7,-85.05,293,01/01/83,01/01/15
25277,KY10,Mammoth Cave National Park-Houchin Meadow,US,KY, ,37.13,-86.15,236,01/01/02,01/01/15
25288,KY19,Seneca Park,US,KY, ,38.23,-85.67,184,01/01/03,01/01/15
25386,KY22,Lilley Cornett Woods,US,KY, ,37.08,-82.99,335,01/01/83,01/01/15
25388,KY35,Clark State Fish Hatchery,US,KY, ,38.12,-83.55,204,01/01/83,01/01/15
25389,KY38,Land Between the Lakes,US,KY, ,36.79,-88.07,181,01/01/84,01/01/96
25401,KY99,Mulberry Flat,US,KY, ,36.9,-88.01,122,01/01/94,01/01/15
25390,LA06,Hill Farm Research Station,US,LA, ,32.75,-93.05,88,01/01/82,01/01/88
25480,LA12,Iberia Research Station,US,LA, ,29.93,-91.72,6,01/01/82,01/01/15
25391,LA30,Southeast Research Station,US,LA, ,30.81,-90.18,48,01/01/83,01/01/15
25481,MA01,North Atlantic Coastal Lab,US,MA, ,41.98,-70.02,41,01/01/81,01/01/15
25226,MA08,Quabbin Reservoir,US,MA, ,42.39,-72.34,306,01/01/82,01/01/15
25227,MA13,East,US,MA, ,42.38,-71.21,18,01/01/82,01/01/10
98713,MA14,Nantucket,US,MA, ,41.29,-70.18,16,01/01/14,01/01/15
100875,MA22,Boston University,US,MA, ,42.35,-71.1,32,01/01/15,01/01/15
25224,MD03,White Rock Substation,US,MD, ,39.41,-77,172,01/01/84,01/01/02
25368,MD07,Catoctin Mountain Park,US,MD, ,39.64,-77.49,464,01/01/03,01/01/13
25221,MD08,Piney Reservoir,US,MD, ,39.71,-79.01,769,01/01/04,01/01/15
25225,MD13,Wye,US,MD, ,38.91,-76.15,6,01/01/83,01/01/15
