SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
1,ACAD1,Acadia NP,US,ME,230090103,44.38,-68.26,157,03/02/88,12/30/17
144,ADPI1,Addison Pinnacle,US,NY,361019000,42.09,-77.21,512,04/04/01,06/28/10
100,AGTI1,Agua Tibia,US,CA,060659000,33.46,-116.97,508,12/20/00,12/30/17
524,AMBL1,Ambler,US,AK,021889000,67.1,-157.86,78,09/03/03,11/29/04
167,ARCH1,Arches NP,US,UT,490190101,38.78,-109.58,1722,03/02/88,12/30/92
138,AREN1,Arendtsville,US,PA,420019000,39.92,-77.31,267,04/04/01,12/31/10
25531,ATLA1,South Dekalb,US,GA,130890002,33.69,-84.29,243,03/01/04,12/30/17
59,BADL1,Badlands NP,US,SD,460710001,43.74,-101.94,736,03/02/88,12/30/17
94952,BALA1,Barrier Lake,CA,AB, ,51.03,-115.03,1391,01/01/11,03/29/17
43,BALD1,Mount Baldy,US,AZ,040018001,34.06,-109.44,2509,03/01/00,12/30/17
25532,BALT1,Baltimore,US,MD,240059000,39.25,-76.71,78,06/02/04,12/31/06
33,BAND1,Bandelier NM,US,NM,350281002,35.78,-106.27,1988,03/02/88,12/30/17
31,BIBE1,Big Bend NP,US,TX,480430101,29.3,-103.18,1067,03/02/88,12/30/17
25533,BIRM1,North Birmingham,US,AL,010730023,33.55,-86.81,176,03/01/04,12/30/17
95,BLIS1,Bliss SP (TRPA),US,CA,060179000,38.98,-120.1,2131,11/17/90,12/30/17
147,BLMO1,Blue Mounds,US,MN,271339000,43.72,-96.19,473,06/01/02,12/29/15
38,BOAP1,Bosque del Apache,US,NM,350539000,33.87,-106.85,1390,04/15/00,12/30/17
59989,BOLA1,Boulder Lake,US,WY, ,42.85,-109.64,2296,08/26/09,12/30/17
140,BOND1,Bondville,US,IL,170191001,40.05,-88.37,263,03/08/01,12/30/17
23,BOWA1,Boundary Waters Canoe Area,US,MN,270759000,47.95,-91.5,527,08/14/91,12/30/17
49,BRCA1,Bryce Canyon NP,US,UT,490170101,37.62,-112.17,2481,03/02/88,12/30/17
20,BRET1,Breton,US,LA,220759000,29.12,-89.21,11,08/16/00,08/29/05
65,BRID1,Bridger Wilderness,US,WY,560359000,42.97,-109.76,2627,03/02/88,12/30/17
5,BRIG1,Brigantine NWR,US,NJ,340019000,39.47,-74.45,5,09/18/91,12/30/17
42018,BRIS1,Breton Island,US,LA,220759000,30.11,-89.76,-7,01/16/08,12/30/17
115,BRLA1,Brooklyn Lake,US,WY,560019000,41.37,-106.24,3196,07/31/93,01/31/04
130,BRMA1,Bridgton,US,ME,230050103,44.11,-70.73,234,03/14/01,12/29/15
98296,BYIS1,Baengnyeong Island,KR, , ,37.97,124.63,100,01/01/17,12/30/17
129,CABA1,Casco Bay,US,ME,230059002,43.83,-70.06,27,03/14/01,12/30/17
75,CABI1,Cabinet Mountains,US,MT,300899000,47.95,-115.67,1441,07/26/00,12/30/17
131,CACO1,Cape Cod,US,MA,250010002,41.98,-70.02,49,04/04/01,12/30/17
29,CACR1,Caney Creek,US,AR,051130003,34.45,-94.14,683,06/24/00,12/30/17
142,CADI1,Cadiz,US,KY,212219000,36.78,-87.85,192,03/08/01,12/31/10
50,CANY1,Canyonlands NP,US,UT,490379000,38.46,-109.82,1798,03/02/88,12/30/17
52,CAPI1,Capitol Reef NP,US,UT,490559000,38.3,-111.29,1897,01/01/00,12/30/17
101321,CAVE1,Carlsbad Caverns,US,NM, ,32.18,-104.44,1355,07/30/17,12/30/17
156,CEBL1,Cedar Bluff,US,KS,201950001,38.77,-99.76,666,06/01/02,12/30/17
18,CHAS1,Chassahowitzka NWR,US,FL,120179000,28.75,-82.55,4,04/03/93,12/30/17
158,CHER1,Cherokee Nation,US,OK,400719010,36.96,-97.03,342,09/02/02,04/20/10
525,CHIC1,Chicago,US,IL,170310076,41.75,-87.71,195,09/03/03,08/29/05
39,CHIR1,Chiricahua NM,US,AZ,040038001,32.01,-109.39,1555,03/02/88,12/30/17
163,CLPE1,Cloud Peak,US,WY,560199000,44.33,-106.96,2471,06/01/02,07/29/15
145,COGO1,Columbia Gorge #1,US,WA,530390010,45.57,-122.21,230,09/18/96,10/30/11
136,COHI1,Connecticut Hill,US,NY,361099000,42.4,-76.65,519,04/04/01,06/25/06
12,COHU1,Cohutta,US,GA,132139000,34.79,-84.63,735,06/03/00,12/30/17
113,CORI1,Columbia River Gorge,US,WA,530390011,45.66,-121,179,06/26/93,12/30/17
153,CRES1,Crescent Lake,US,NE,310699000,41.76,-102.43,1207,06/01/02,12/29/15
86,CRLA1,Crater Lake NP,US,OR,410358001,42.9,-122.14,1996,03/02/88,12/30/17
69,CRMO1,Craters of the Moon NM,US,ID,160230101,43.46,-113.56,1818,05/13/92,12/30/17
