SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
14811,010550010,Gadsden C. College (#3),US,AL,010550010,33.99,-85.99,50,01/01/15,07/31/18
12150,010730023,North Birmingham (#3),US,AL,010730023,33.55,-86.81,177,07/13/01,12/31/11
12150,010730023,North Birmingham (#4),US,AL,010730023,33.55,-86.81,177,03/01/05,06/30/06
12042,010731005,Mcadory (#3),US,AL,010731005,33.33,-87,163,07/16/01,09/30/18
23155,010731009,1801 Bruce Shaw Road (#3),US,AL,010731009,33.46,-87.31,226,07/19/01,12/31/12
23630,010731010,Leeds (#3),US,AL,010731010,33.55,-86.55,195,01/01/04,09/30/18
11690,010732003,Wylam (#3),US,AL,010732003,33.5,-86.92,191,07/13/01,09/30/18
11691,010732006,Hoover (#3),US,AL,010732006,33.39,-86.82,180,07/25/01,09/30/18
15803,010735002,"Pinson, High Sch., Box 360 Hwy 75 North (#3)",US,AL,010735002,33.7,-86.67,204,07/17/01,12/31/12
23172,010735003,Corner (#3),US,AL,010735003,33.8,-86.94,212,07/18/01,09/30/18
15832,010890014,Huntsville Old Airport (#3),US,AL,010890014,34.69,-86.59,183,01/01/18,06/30/18
15471,010970003,Chickasaw (#3),US,AL,010970003,30.77,-88.09,11,01/01/15,08/31/18
11568,011011002,"Moms, Adem (#3)",US,AL,011011002,32.41,-86.26,76,01/01/15,08/31/18
11574,011030011,"Decatur, Alabama (#3)",US,AL,011030011,34.53,-86.97,174,01/01/15,08/31/18
11582,011130001,Phenix City,US,AL,011130001,32.47,-85.01,74,05/20/16,09/16/16
11582,011130001,Phenix City (#3),US,AL,011130001,32.47,-85.01,74,01/01/15,12/18/15
101298,011130003,Phenix City - South Girard School (#3),US,AL,011130003,32.44,-85,25,09/18/17,08/31/18
98216,011190003,"Ward, Sumter Co. (#3)",US,AL,011190003,32.36,-88.28,64,01/01/15,08/31/18
23173,011250004,"Va, Tuscaloosa (#3)",US,AL,011250004,33.19,-87.48,128,01/01/15,04/30/18
16326,020900010,State Office Building (#3),US,AK,020900010,64.84,-147.72,132,01/01/06,04/10/13
97953,020900033,North Pole Elementary School (#3),US,AK,020900033,64.75,-147.35,146,04/01/12,04/02/13
97954,020900034,Ncore (#3),US,AK,020900034,64.85,-147.73,132,02/15/11,12/31/17
97955,020900035,North Pole Fire Station #3 (#3),US,AK,020900035,64.76,-147.31,145,01/01/13,12/31/17
100883,020900039,"North Pole Water/2696 Mockler Ave, North Pole A...",US,AK,020900039,64.76,-147.37,555,10/01/14,03/31/15
100917,020904001,Watershed Charter School (#3),US,AK,020904001,64.83,-147.87,137,03/01/13,12/31/15
100915,020904002,N-Core Ams (#3),US,AK,020904002,64.85,-147.73,103,05/29/09,09/24/09
100896,020904003,Wood River Elementary School (#3),US,AK,020904003,64.84,-147.87,145,03/25/09,03/31/11
100884,020904004,Riverboat Discovery (#3),US,AK,020904004,64.83,-147.87,145,01/18/13,03/01/13
100887,020904005,Watershed Charter School (#3),US,AK,020904005,64.83,-147.87,449,11/13/09,10/31/14
100900,020904006,"Hamilton Acres Baptist School / 311 B St., Fair...",US,AK,020904006,64.85,-147.68,555,10/10/14,03/31/15
100889,020904007,Faith Baptist School (#3),US,AK,020904007,64.83,-147.89,137,10/01/14,11/20/14
100947,020904008,Artisans (#3),US,AK,020904008,64.86,-147.79,133,01/07/16,03/31/16
100968,020904009,Chena Pump Road-Simplex Grinnell/1005 Chena Pum...,US,AK,020904009,64.82,-147.9,137,01/13/16,02/18/16
100893,020904010,Colloocated With Monitoring Next To Peger Rd Us...,US,AK,020904010,64.82,-147.78,137,10/09/08,11/04/08
100903,020904012,"Fnsb Landfill \ 455 Sanduri St, Fairbanks, Ak 9...",US,AK,020904012,64.81,-147.7,147,11/06/08,12/05/08
100906,020904013,Uaf Farm-Usda Field Building (#3),US,AK,020904013,64.85,-147.86,137,01/20/09,03/19/09
100920,020904014,Fnsb Maintenance Building (#3),US,AK,020904014,64.85,-147.77,137,02/17/10,04/01/10
100885,020905001,Newby Park (#3),US,AK,020905001,64.74,-147.29,151,10/15/13,03/31/15
100895,020905002,North Pole Christian School (#3),US,AK,020905002,64.78,-147.36,144,02/13/14,03/31/14
100919,020905004,"Ticasuk Brownelementary/ 785 Lakloey Dr, North ...",US,AK,020905004,64.83,-147.53,143,11/18/15,12/29/15
100911,020905005,"Bright Electric/1410 Old Richardson Hwy, North ...",US,AK,020905005,64.8,-147.56,142,02/18/15,04/01/15
100888,020905006,Rams Trailer North Star Fire Station #2 (#3),US,AK,020905006,64.81,-147.54,142,10/05/15,11/18/15
100918,020905007,Eielson Afb Clinic/354Th Medical Group; 2630 Ce...,US,AK,020905007,64.67,-147.08,165,06/26/15,08/14/15
100907,020905008,North Pole Pump Station (#3),US,AK,020905008,64.75,-147.35,555,01/07/15,02/18/15
100892,020905009,"North Pole Water 5 / 171 5Th Ave, North Pole Ak...",US,AK,020905009,64.75,-147.34,555,10/02/15,12/30/15
100916,020905010,North Pole Dixon Road (#3),US,AK,020905010,64.78,-147.33,145,11/20/14,12/31/14
100955,020905011,Badger Road Elementary/ Bres (#3),US,AK,020905011,64.8,-147.41,149,02/18/16,03/31/16
100937,020905012,Np Water Stillmeyer (#3),US,AK,020905012,64.75,-147.35,148,01/05/16,03/31/16
23414,040191030,Green Valley  -Replaces Site 0007 245 W Esperan...,US,AZ,040191030,31.88,-111,0,01/01/18,09/30/18
23415,040191032,Rose Elementary (#3),US,AZ,040191032,32.17,-110.98,728,01/02/18,09/30/18
23416,040191034,Coachline (#3),US,AZ,040191034,32.38,-111.13,679,01/01/18,09/30/18
23417,040191113,Geronimo (#3),US,AZ,040191113,32.25,-110.97,747,01/01/18,09/30/18
25707,050350005,Marion (#3),US,AR,050350005,35.2,-90.19,67,01/01/17,09/30/18
16137,051190007,Parr (#3),US,AR,051190007,34.76,-92.28,80,01/01/11,09/30/18
15690,051191008,Doyle Springs Road (#3),US,AR,051191008,34.68,-92.33,0,01/01/17,09/30/18
15410,051390006,El Dorado (#3),US,AR,051390006,33.22,-92.67,55,01/01/17,09/30/18
27004,051430005,Springdale (#3),US,AR,051430005,36.18,-94.12,1,01/01/17,09/30/18
17655,060010007,Livermore,US,CA,060010007,37.69,-121.78,137,01/01/04,09/08/10
42035,060010011,Oakland West,US,CA,060010011,37.81,-122.28,0,02/25/09,12/11/12
39439,060012004,Berkeley,US,CA,060012004,37.88,-122.3,6,12/13/07,12/31/10
97962,060070008,Chico-East Avenue (#3),US,CA,060070008,39.76,-121.84,1,08/05/12,06/30/18
97962,060070008,Chico-East Avenue (#4),US,CA,060070008,39.76,-121.84,1,08/05/12,09/24/14
77284,060072002,Paradise - Theater (#3),US,CA,060072002,39.78,-121.59,534,09/09/10,06/30/18
23422,060074001,"Traffic, Rural Paved Road (#3)",US,CA,060074001,39.33,-121.67,0,01/01/01,06/30/18
14930,060111002,Colusa-Sunrise Blvd (#3),US,CA,060111002,39.19,-122,17,10/12/04,06/30/18
59997,060192008,Huron (#3),US,CA,060192008,36.2,-120.1,113,10/12/09,09/30/18
12055,060195001,Clovis-Villa (#3),US,CA,060195001,36.82,-119.72,86,01/01/07,11/25/08
39453,060210003,Willows-Colusa Street (#3),US,CA,060210003,39.53,-122.19,1,09/13/06,06/30/18
12096,060250005,Calexico-Ethel Street (#3),US,CA,060250005,32.68,-115.48,1,01/01/16,06/30/18
17090,060290010,Bakersfield-Golden/M St (#3),US,CA,060290010,35.39,-119.02,151,01/01/07,06/04/09
17091,060290014,Bakersfield-California (#3),US,CA,060290014,35.36,-119.06,0,11/29/01,06/30/18
17091,060290014,Bakersfield-California (#4),US,CA,060290014,35.36,-119.06,0,11/29/01,12/31/15
77342,060292009,Lebec (#3),US,CA,060292009,34.84,-118.86,1063,01/27/09,09/30/18
17857,060310004,Corcoran-Patterson (#3),US,CA,060310004,36.1,-119.57,61,01/01/07,12/31/08
23779,060370016,Glendora (#3),US,CA,060370016,34.14,-117.85,275,01/01/08,06/30/18
13270,060371002,Burbank (#3),US,CA,060371002,34.18,-118.32,168,01/01/08,06/30/14
13387,060371103,Los Angeles-North Main Street (#3),US,CA,060371103,34.07,-118.23,87,01/01/08,09/30/11
13387,060371103,Los Angeles-North Main Street (#9),US,CA,060371103,34.07,-118.23,87,10/01/11,06/30/18
13280,060371201,Reseda (#3),US,CA,060371201,34.2,-118.53,226,03/04/09,06/30/18
16973,060374002,Long Beach (North) (#3),US,CA,060374002,33.82,-118.19,6,01/01/10,09/30/13
23780,060374004,Long Beach (South) (#3),US,CA,060374004,33.79,-118.18,6,01/01/12,06/30/18
23783,060376012,Santa Clarita (#3),US,CA,060376012,34.38,-118.53,397,11/01/08,06/30/18
23430,060431001,Yosemite Np-Yosemite Village Vistor Center (#3),US,CA,060431001,37.75,-119.59,1216,02/01/02,06/30/18
23796,060550003,Napa,US,CA,060550003,38.31,-122.3,13,01/04/07,12/05/12
17058,060570005,Grass Valley-Litton Building (#3),US,CA,060570005,39.23,-121.06,853,01/09/07,01/31/08
13436,060571001,Truckee-Fire Station (#3),US,CA,060571001,39.33,-120.18,5500,01/04/07,01/31/08
23799,060590007,Anaheim (#3),US,CA,060590007,33.83,-117.94,10,01/01/08,06/30/18
17076,060610006,Roseville-N Sunrise Ave (#3),US,CA,060610006,38.75,-121.26,48,06/23/04,06/30/18
42089,060650009,Pechanga,US,CA,060650009,33.45,-117.09,366,04/10/08,08/12/10
23810,060650012,Banning Airport (#3),US,CA,060650012,33.92,-116.86,677,01/01/08,06/30/18
97971,060650016,Temecula (#3),US,CA,060650016,33.58,-117.07,453,04/01/11,06/30/18
14596,060651003,Riverside (Magnolia) (#3),US,CA,060651003,33.95,-117.4,249,04/01/10,12/31/14
14604,060658001,Rubidoux (#3),US,CA,060658001,34,-117.42,250,01/01/08,12/31/16
14604,060658001,Rubidoux (#9),US,CA,060658001,34,-117.42,250,08/01/11,06/29/18
27252,060658005,Mira Loma (Van Buren) (#3),US,CA,060658005,34,-117.49,250,01/01/08,06/30/18
23814,060659001,Lake Elsinore (#3),US,CA,060659001,33.68,-117.33,1440,01/01/08,06/30/18
14625,060670006,Sacramento-Del Paso Manor (#3),US,CA,060670006,38.61,-121.37,8,02/01/10,06/30/18
14630,060670010,Sacramento-1309 T Street (#3),US,CA,060670010,38.57,-121.49,0,05/20/04,06/30/18
14630,060670010,Sacramento-1309 T Street (#4),US,CA,060670010,38.57,-121.49,0,05/26/04,11/30/05
23821,060710005,Crestline (#3),US,CA,060710005,34.24,-117.27,1384,06/11/09,06/30/18
100854,060710027,Ontario-Route 60 Near Road (#3),US,CA,060710027,34.03,-117.62,258,08/01/15,12/31/15
23826,060711004,Upland (#3),US,CA,060711004,34.1,-117.63,369,06/07/09,06/30/18
18207,060730003,El Cajon,US,CA,060730003,32.79,-116.94,143,03/11/11,12/31/13
14114,060731002,Escondido,US,CA,060731002,33.13,-117.08,204,04/09/10,08/28/15
14114,060731002,Escondido (#2),US,CA,060731002,33.13,-117.08,204,01/01/10,06/30/14
25787,060731006,Alpine,US,CA,060731006,32.84,-116.77,603,06/19/14,03/29/18
27307,060731008,Camp Pendleton,US,CA,060731008,33.22,-117.4,15,06/19/14,03/07/18
27308,060731010,San Diego - Beardsley Street,US,CA,060731010,32.7,-117.15,3,11/01/11,10/19/16
42004,060731014,Donovan,US,CA,060731014,32.58,-116.92,185,01/21/15,03/31/18
100856,060731019,San Ysidro,US,CA,060731019,32.54,-117.03,16,01/27/15,03/22/16
100897,060731022,El Cajon - Lexington Elementary School,US,CA,060731022,32.79,-116.94,144,06/22/16,03/31/18
100912,060731024,San Ysidro,US,CA,060731024,32.54,-117.03,19,06/06/16,08/24/16
14425,060750005,San Francisco,US,CA,060750005,37.77,-122.4,5,01/01/04,09/30/09
27321,060750006,San Francisco - Bayview Hunters Point,US,CA,060750006,37.73,-122.38,82,06/14/04,06/14/05
27334,060773005,Tracy-Airport (#3),US,CA,060773005,37.68,-121.44,30,01/01/07,06/30/18
15039,060811001,Redwood City,US,CA,060811001,37.48,-122.2,3,01/01/04,09/30/09
23171,060850005,San Jose - Jackson,US,CA,060850005,37.35,-121.89,31,01/01/04,09/19/12
77347,060852009,Cupertino Monta Vista,US,CA,060852009,37.32,-122.07,124,09/14/10,12/31/13
16906,060950004,Vallejo,US,CA,060950004,38.1,-122.24,6,01/01/04,09/14/10
39519,060950006,Benicia - Vip,US,CA,060950006,38.07,-122.15,109,04/01/07,12/31/08
23872,060990006,Turlock (#3),US,CA,060990006,37.49,-120.84,56,01/01/07,11/19/08
13255,061010003,Yuba City (#3),US,CA,061010003,39.14,-121.62,20,06/23/04,06/30/18
