SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
23587,DE02,Lewes,US,DE, ,38.77,-75.1,2,09/29/92,01/22/14
23588,DE99,Trap Pond State Park,US,DE, ,38.5,-75.45,12,05/30/01,05/24/03
23589,FL18,Tampa Bay,US,FL, ,27.83,-82.5,2,08/11/96,06/25/06
23590,FL98,South Lido,US,FL, ,27.31,-82.57,1,09/15/98,09/12/99
23591,IL11,Bondville,US,IL, ,40.05,-88.37,212,10/01/92,01/17/14
23592,MD15,Smith Island,US,MD, ,37.99,-76.03,2,11/17/95,05/31/04
23593,NY67,Ithaca,US,NY, ,42.4,-76.66,503,09/30/92,01/11/14
23594,OH09,Oxford,US,OH, ,39.53,-84.72,284,10/06/92,09/26/00
23595,PA15,Penn State,US,PA, ,40.79,-77.95,393,10/06/92,01/12/14
23596,TN00,Walker Branch Watershed,US,TN, ,35.96,-84.29,341,09/23/92,01/11/14
23597,VT99,Underhill,US,VT, ,44.53,-72.87,399,01/27/93,05/30/13
23598,WV99,Canaan Valley,US,WV, ,39.06,-79.42,988,06/01/00,01/22/14
