SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
23236,BHM,N. Birmingham,US,AL, ,33.55,-86.81,200,10/01/98,03/30/05
23237,CTR,Centreville,US,AL, ,32.9,-87.25,135,05/01/98,03/31/05
23238,GFP,Gulfport,US,MS, ,30.39,-89.05,5,04/01/99,03/31/05
23234,JST,Jefferson Street; Atlanta,US,GA, ,33.78,-84.41,275,07/01/98,03/31/05
23239,OAK,Oak Grove,US,MS, ,30.98,-88.93,100,05/01/98,03/31/05
23241,OLF,OLF #8,US,FL, ,30.55,-87.38,45,01/01/99,03/31/05
23240,PNS,Pensacola,US,FL, ,30.44,-87.26,5,01/01/99,03/31/05
23235,YRK,Yorkville,US,GA, ,33.93,-85.05,395,05/01/98,03/31/05
